Date,Opponent,Site
Aug. 31,at University of Kentucky,"Lexington, Kentucky"
Sept. 7,Southeastern Louisiana University,Hattiesburg
Sept. 14,University of South Florida,Hattiesburg
Sept. 21,at Jacksonville State University,"Jacksonville, Alabama"
Sept. 28,OPEN,-----------
Oct. 5,University of Louisiana-Lafayette,Hattiesburg
Oct. 12,at University of Louisiana-Monroe,"Monroe, Louisiana"
Oct. 19,Arkansas State University,Hattiesburg (Homecoming)
Oct. 26,at James Madison University,"Harrisonburg, Virginia"
Nov. 2,OPEN,-----------
Nov. 9,Marshall University,Hattiesburg
Nov. 16,at Texas State University,"San Marcos, Texas"
Nov. 23,University of South Alabama,Hattiesburg
Nov. 30,at University of Troy,"Troy, Alabama"
